paper	fos	similarity
297355911	92217149	0.61857444
297355911	114793014	0.4191483
297355911	12294951	0.45900476
297355911	2777746296	0.420891672
297355911	127313418	0.440512478
297356032	77805123	0.462112546
297356032	68346564	0.5184
297356032	107062074	0.601343036
297356032	75630572	0.4624243
297356032	17744445	0.451622784
297356032	36727532	0.5535731
297356096	95457728	0.465502858
297356096	95124753	0.4591562
297356130	138331895	0.4592596
297356130	27564746	0.4468776
297356130	21547014	0.432937
297356130	530198007	0.4397174
297356130	81060104	0.515208662
297356130	82753439	0.4706795
297356130	109168655	0.484904647
297356130	50335755	0.5153897
297356130	2776039514	0.463877559
297356130	127413603	0.3747459
297356137	28328180	0.4830546
297356137	2780007613	0.6515051
297356137	2777063308	0.479960024
297356137	2779559532	0.481960624
297356137	109159458	0.5244338
297356137	2776914184	0.496137321
297356137	203014093	0.362035155
297356137	153385146	0.545539558
297356137	71924100	0.227583364
297356137	2780525284	0.593705356
297356204	31903555	0.357415438
297356204	82339955	0.483267248
297356204	46328234	0.481713682
297356204	42360764	0.327505559
297356204	2781202762	0.5515627
297356204	153385146	0.547606
297356204	185592680	0.314938664
297356321	2522767166	0.407298684
297356321	71472368	0.491875976
297356321	41008148	0.373334944
297356356	14262774	0.467662215
297356356	138336922	0.4827892
297356356	77805123	0.419120818
297356356	67203356	0.5128404
297356356	15744967	0.411319256
297356405	195766429	0.367903233
297356405	545943180	0.480117053
297356405	107872376	0.388665676
297356405	47663296	0.420713961
297356405	112570922	0.4323786
297356405	2779033419	0.365602255
297356405	185592680	0.3056693
297356438	28490314	0.447695822
297356438	41008148	0.450145781
297356472	2777810591	0.477165729
297356472	512399662	0.4325593
297356472	178229462	0.597555
297356472	96865113	0.427205
297356472	109260823	0.4514001
297356472	71924100	0.390617251
297356511	2778401633	0.450671166
297356511	2775838275	0.46161437
297356511	2778760513	0.4576208
297356511	134018914	0.3616101
297356511	126322002	0
297356511	2778356392	0.490834951
297356511	2777180221	0.439007968
297356511	2776151105	0.450040936
297356511	2778163477	0.432151377
297356511	2780485761	0.480759948
297356511	86803240	0.224425972
297356523	2775859304	0.5266472
297356523	134018914	0.457462817
297356523	2779571634	0
297356523	126322002	0
297356523	555293320	0.430577874
297356523	178853913	0.405669063
297356523	86803240	0.272493422
297356534	15744967	0.4370416
297356534	75630572	0.4459357
297356534	145420912	0.447025567
297356534	19417346	0.46112752
297356534	10050518	0.5677501
297356556	71923881	0.436036021
297356556	46011968	0.623071969
297356556	21959979	0.4207421
297356556	110875604	0.420938075
297356556	125583679	0.62495774
297356556	97854310	0.585696
297356556	124101348	0.4540232
297356556	19889080	0.6158464
297356556	41008148	0.42751807
297356603	507981020	0.527454
297356603	54286561	0.416516542
297356603	39432304	0.373340577
297356603	2778962692	0.5786639
297356652	92718894	0.6508944
297356652	24872484	0.477674365
297356652	93779851	0.60365
297356652	101555633	0.5375888
297356652	130230704	0.552641869
297356652	74650414	0.436150581
297356652	50335755	0.5390696
297356652	115260700	0.4965283
297356652	58290451	0.5558786
297356652	121332964	0.3952894
297356679	170154142	0.329280019
297356679	2777956518	0.5994723
297356679	39432304	0.3027379
297356776	150903083	0.406089276
297356776	161176658	0.476069361
297356776	126831891	0.461800724
297356776	25761633	0.435684234
297356776	197321923	0.479366034
297356776	2522874641	0.42734164
297356776	86803240	0.3501649
297356776	6557445	0.418542922
297356852	179104552	0.4553748
297356852	185592680	0.416613877
297356852	175583648	0.5005273
297356852	150394285	0.5341553
297356852	43411465	0.3639488
297356852	178790620	0.439072639
297356852	161790260	0.502639532
297356852	92880739	0.435616225
297356852	11268172	0.557237
297357045	86909935	0.6191974
297357045	168857316	0.6335505
297357045	505870484	0.432752222
297357045	158278297	0.488078058
297357045	141896089	0.577606857
297357045	2778658382	0.5337735
297357045	39432304	0.347989678
297357169	126838900	0.397285521
297357169	143753070	0.4325975
297357169	2779278165	0.502003133
297357169	71924100	0.3591354
297357172	139722471	0.5615338
297357172	126955663	0.662075162
297357172	65244806	0.443381578
297357172	22597639	0.6217688
297357172	17500928	0.463591
297357172	177502760	0.465900272
297357172	137685913	0.5933362
297357172	85899133	0.6114281
297357172	133731056	0.412910968
297357172	158622935	0.475918263
297357172	33923547	0.3279922
297357307	2780048723	0.5032742
297357307	127413603	0.294278055
297357307	24326235	0.3265254
297357307	120665830	0.3420359
297357307	2779383134	0.485672235
297357358	31903555	0.427667618
297357358	144133560	0.349623352
297357358	513059894	0.6061316
297357358	2776477769	0.534415245
297357358	129361004	0.407164365
297357362	144027150	0.285451084
297357362	2776527163	0.384680182
297357362	86803240	0.244587243
297357412	24667770	0.3864191
297357412	36289849	0.352531582
297357412	144024400	0.3837694
297357413	2776756539	0.52218163
297357413	4311470	0.480327755
297357413	150048076	0.520160854
297357413	68189081	0.45633918
297357413	2777374301	0.545041561
297357413	423512	0.4744837
297357413	59269787	0.502180755
297357413	105923489	0.470924765
297357413	548081761	0.408811957
297357413	127413603	0.3307155
297357480	187212893	0.295992523
297357480	95457728	0.266503364
297357600	54016721	0.623393536
297357600	2780956279	0.4790541
297357600	177322064	0.390624344
297357600	2778260006	0.577801
297357600	8138999	0.651623845
297357600	61441594	0.424389958
297357600	150199151	0.42929
297357600	555451288	0.5587077
297357600	13965031	0.419004858
297357600	185592680	0.325339556
297357606	138921699	0.337688446
297357606	95457728	0.324885339
297357703	2777162435	0.6093995
297357703	36289849	0.4521228
297357703	17744445	0.466813236
297357906	161840515	0.3810708
297357906	58640448	0.310289174
297357906	2775933685	0.35539633
297357906	95457728	0.2949776
297357918	142669718	0.478489965
